image,detections,masks,max_confidence,avg_confidence
10.jpg,21,21,0.8783,0.6545
11.jpg,2,2,0.956,0.8676
12.jpg,15,15,0.929,0.6823
13.jpg,10,10,0.9075,0.6566
14.jpg,13,13,0.934,0.72
15.jpg,10,10,0.9145,0.7525
16.jpg,17,17,0.8774,0.555
17.jpg,5,5,0.7571,0.5328
18.jpg,9,9,0.8729,0.5823
19.jpg,11,11,0.7607,0.5653
20.jpg,6,6,0.8933,0.6911
21.jpg,6,6,0.7296,0.5883
22.jpg,10,10,0.7762,0.6595
23.jpg,3,3,0.868,0.5952
24.jpg,16,16,0.9201,0.5842
25.jpg,14,14,0.8937,0.6001
26.jpg,9,9,0.9319,0.5734
27.jpg,19,19,0.7001,0.4888
28.jpg,12,12,0.8183,0.5335
29.jpg,6,6,0.8661,0.726
30.jpg,12,12,0.9033,0.6252
31.jpg,6,6,0.8566,0.721
32.jpg,6,6,0.7334,0.5951
33.jpg,4,4,0.5482,0.379
34.jpg,6,6,0.8194,0.6824
35.jpg,9,9,0.7445,0.4148
36.jpg,3,3,0.6474,0.4839
37.jpg,8,8,0.4836,0.3365
38.jpg,10,10,0.3649,0.3111
39.jpg,7,7,0.718,0.5001
40.jpg,4,4,0.4645,0.353
41.jpg,0,0,,
42.jpg,4,4,0.7588,0.5059
43.jpg,7,7,0.6551,0.4092
44.jpg,10,10,0.8077,0.4634
45.jpg,7,7,0.7967,0.6563
46.jpg,5,5,0.7325,0.4655
47.jpg,4,4,0.7109,0.5084
48.jpg,1,1,0.792,0.792
49.jpg,17,17,0.8039,0.4832
50.jpg,21,21,0.7315,0.4704
51.jpg,23,23,0.7173,0.4436
52.jpg,10,10,0.7168,0.534
53.jpg,19,19,0.8265,0.4844
54.jpg,24,24,0.8339,0.4367
55.jpg,4,4,0.5516,0.5108
56.jpg,10,10,0.9359,0.6845
57.jpg,11,11,0.7338,0.4658
58.jpg,9,9,0.7359,0.4897
59.jpg,19,19,0.7136,0.4429
60.jpg,9,9,0.7678,0.527
61.jpg,7,7,0.6695,0.5053
62.jpg,14,14,0.6963,0.4705
63.jpg,17,17,0.8199,0.5947
64.jpg,20,20,0.8939,0.6235
65.jpg,21,21,0.8826,0.631
66.jpg,24,24,0.8152,0.5213
67.jpg,15,15,0.925,0.691
68.jpg,14,14,0.594,0.4357
69.jpg,12,12,0.8921,0.6005
70.jpg,16,16,0.8337,0.5635
71.jpg,14,14,0.9074,0.5645
72.jpg,16,16,0.911,0.6796
73.jpg,22,22,0.8596,0.5901
