epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43706,2.11718,3.65375,4.12685,1.377,0,0.12086,0.03279,0.01372,0.00627,0.12086,0.03279,0.01107,0.00467,1.92075,3.73323,4.18833,1.2332,0,6e-05,6e-05,6e-05
2,6.57097,1.97712,3.48547,3.49352,1.36668,0,0.33679,0.18033,0.15907,0.07915,0.45861,0.22951,0.19647,0.09401,1.77973,3.44148,4.12719,1.26488,0,0.000139076,0.000139076,0.000139076
3,9.7786,1.82193,2.9521,2.32899,1.22596,0,0.3996,0.32787,0.19596,0.09656,0.39841,0.32787,0.18491,0.08198,1.64177,3.02884,3.2267,1.1506,0,0.000217096,0.000217096,0.000217096
4,12.9469,1.73771,2.43782,1.87992,1.13192,0,0.42456,0.37705,0.28402,0.13699,0.40702,0.36066,0.27605,0.13472,1.57022,3.10572,3.21445,1.12872,0,0.00029406,0.00029406,0.00029406
5,16.2347,1.64206,2.3593,1.65332,1.07604,0,0.55159,0.31148,0.33608,0.17507,0.55506,0.39344,0.37196,0.15698,1.58665,2.71818,4.0775,1.13678,0,0.000369968,0.000369968,0.000369968
6,19.4467,1.53871,2.2761,1.75689,1.06673,0,0.43492,0.32806,0.27711,0.12721,0.52468,0.37705,0.32443,0.12837,1.7378,2.80744,3.48736,1.19296,0,0.00044482,0.00044482,0.00044482
7,21.65,1.64067,2.25495,1.66866,1.07673,0,0.62694,0.2459,0.28756,0.13173,0.58515,0.22951,0.25469,0.12282,1.73908,2.97809,3.35511,1.17479,0,0.000518616,0.000518616,0.000518616
8,23.7606,1.64334,2.32239,1.60539,1.10727,0,0.57266,0.34426,0.35732,0.14973,0.50131,0.40984,0.37619,0.17001,1.7731,2.97565,3.03337,1.16685,0,0.000591356,0.000591356,0.000591356
9,25.8973,1.6056,2.2043,1.64547,1.10843,0,0.42282,0.36066,0.34261,0.1496,0.42259,0.47541,0.37929,0.18383,1.73259,2.96839,4.38204,1.14529,0,0.00066304,0.00066304,0.00066304
10,29.1741,1.69468,2.21018,1.59236,1.10021,0,0.52508,0.39883,0.39322,0.17957,0.51571,0.40984,0.38216,0.19642,1.8207,2.99546,3.58963,1.20171,0,0.000733668,0.000733668,0.000733668
11,32.3978,1.54585,2.2916,1.55694,1.12868,0,0.424,0.39344,0.33255,0.15057,0.45502,0.42623,0.33184,0.15033,1.82603,3.22371,2.61068,1.23887,0,0.00080324,0.00080324,0.00080324
12,34.5529,1.63684,2.20744,1.56641,1.0917,0,0.36748,0.40984,0.32645,0.16873,0.37663,0.40984,0.34227,0.19031,1.78068,2.96583,2.30372,1.25761,0,0.000871756,0.000871756,0.000871756
13,36.712,1.77662,2.26427,1.65065,1.12686,0,0.5865,0.31148,0.35043,0.19517,0.59465,0.29508,0.35769,0.19441,1.78476,3.00235,3.16546,1.22406,0,0.000939216,0.000939216,0.000939216
14,39.9293,1.65079,2.19363,1.48914,1.1166,0,0.48082,0.39344,0.31928,0.15201,0.49581,0.40984,0.36047,0.17712,1.84457,3.06744,2.2201,1.19481,0,0.00100562,0.00100562,0.00100562
15,42.0868,1.68176,2.36585,1.2979,1.08283,0,0.38913,0.44262,0.28275,0.13943,0.49635,0.37705,0.29645,0.12493,1.71748,3.41259,2.03821,1.13105,0,0.00107097,0.00107097,0.00107097
16,44.2044,1.63815,2.4354,1.36563,1.10004,0,0.38913,0.44262,0.28275,0.13943,0.49635,0.37705,0.29645,0.12493,1.71748,3.41259,2.03821,1.13105,0,0.00113526,0.00113526,0.00113526
17,46.6794,1.70109,2.17634,1.26654,1.1094,0,0.52092,0.34426,0.27166,0.13081,0.54573,0.36066,0.33995,0.15718,1.76566,3.06981,1.9768,1.18255,0,0.0011985,0.0011985,0.0011985
18,48.7205,1.69601,2.27413,1.22321,1.09272,0,0.47063,0.36066,0.31162,0.15629,0.65022,0.32787,0.33439,0.1606,1.84561,3.07365,1.75394,1.24488,0,0.00126068,0.00126068,0.00126068
19,50.8429,1.55747,2.11745,1.17556,1.09499,0,0.47063,0.36066,0.31162,0.15629,0.65022,0.32787,0.33439,0.1606,1.84561,3.07365,1.75394,1.24488,0,0.0013218,0.0013218,0.0013218
20,52.9853,1.55946,2.0655,1.20953,1.11237,0,0.43072,0.45902,0.36928,0.18637,0.44506,0.47541,0.35805,0.16844,1.86431,2.84873,1.54388,1.26462,0,0.00138187,0.00138187,0.00138187
21,55.1898,1.55933,2.05778,1.16855,1.10229,0,0.44095,0.44262,0.38502,0.19257,0.52144,0.44661,0.40984,0.19111,1.82834,3.0902,1.5447,1.23526,0,0.00144088,0.00144088,0.00144088
22,57.3085,1.64327,2.11363,1.15887,1.11405,0,0.44095,0.44262,0.38502,0.19257,0.52144,0.44661,0.40984,0.19111,1.82834,3.0902,1.5447,1.23526,0,0.00149884,0.00149884,0.00149884
23,59.4213,1.57059,2.0558,1.12922,1.07722,0,0.46387,0.45902,0.40829,0.19901,0.53014,0.52459,0.41853,0.19663,1.84757,3.31344,1.51545,1.23282,0,0.00155574,0.00155574,0.00155574
