epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98973,2.21374,3.49949,4.20604,1.37499,0,0.18149,0.15,0.05098,0.02044,0.1563,0.15,0.05946,0.02044,1.83726,2.57612,3.28563,1.20098,0,6e-05,6e-05,6e-05
2,4.63368,2.19664,3.49553,4.12333,1.41554,0,0.28571,0.31667,0.25331,0.10458,0.28573,0.33333,0.22911,0.13605,1.57536,2.47418,2.5778,1.11704,0,0.000139076,0.000139076,0.000139076
3,7.8127,2.01253,3.01553,2.52527,1.18032,0,0.4049,0.43333,0.32147,0.14408,0.3891,0.41667,0.3132,0.16836,1.44415,2.07232,2.86721,1.06852,0,0.000217096,0.000217096,0.000217096
4,10.9307,1.64522,2.49717,1.92081,1.12926,0,0.35511,0.50481,0.31354,0.15658,0.39786,0.56667,0.36955,0.16288,1.48928,1.98034,4.28209,1.10124,0,0.00029406,0.00029406,0.00029406
5,14.0588,1.76005,2.4586,1.76316,1.10586,0,0.37014,0.5,0.43975,0.23041,0.3868,0.53333,0.45028,0.24135,1.4011,1.91801,4.56684,1.1117,0,0.000369968,0.000369968,0.000369968
6,17.0908,1.85006,2.69773,1.7868,1.16014,0,0.46068,0.5,0.45255,0.24666,0.6245,0.46667,0.50769,0.24994,1.45881,2.04969,3.42902,1.10993,0,0.00044482,0.00044482,0.00044482
7,20.2172,1.81672,2.53311,1.6022,1.11654,0,0.33471,0.45,0.2499,0.11534,0.32632,0.43333,0.24016,0.11834,1.49657,2.07973,5.6996,1.13877,0,0.000518616,0.000518616,0.000518616
8,22.256,1.74534,2.1816,1.74136,1.18824,0,0.48344,0.56667,0.5461,0.28548,0.47429,0.57144,0.52535,0.29213,1.4355,2.19928,3.03614,1.1144,0,0.000591356,0.000591356,0.000591356
9,25.4546,1.88831,2.41653,1.71042,1.14194,0,0.44233,0.48333,0.40292,0.22751,0.44233,0.48333,0.40419,0.23799,1.44959,2.24403,5.34774,1.1097,0,0.00066304,0.00066304,0.00066304
10,27.4549,1.73275,2.25616,1.58164,1.09211,0,0.52952,0.54406,0.54373,0.2912,0.55318,0.55,0.58111,0.32907,1.46501,1.97099,3.53733,1.08486,0,0.000733668,0.000733668,0.000733668
